cause_of_loss,avg_loss_percentage
"Decay, Mechanic Damage, Sorting",8.68888888888889
Rejects Of Export Quantities,8.633333333333333
"Lower In The Surveyed Markets Of Chapai Nowabgonj, The Leading Mango Growing District Of Bangladesh (Table 12.2). This Result Would Be Attributed To The Use Of Recently Introduced Plastic Crates For Long Distance Transport Instead Of The Age-Old Conventional Method Of Mango Packaging With Bamboo Baskets And Gunny Bags",8.625
Market Storage Weevils,8.5
During Packing And Storage Of Spring Onions  During Packing And Storage Of Regular Onions,8.5
Insect Damage - Grain Weevil,8.5
Mechanical And Disease Damage Loss (Peeled Off),8.411111111111111
"Higher Postharvest Losses Of Tomato In The Conventional Production System May Be Attributed To The Lower Price Due To Higher Supply, Which Restrains The Growers And Other Intermediaries To Adopt Improved Practices",8.225
Drying Before Threshing,8.0
"Over-Ripening, Poor Handling",8.0
Insect Damage,7.865882352941177
Nan  Table 4  Percentage Losses During Manual Processing Practices.,7.789999999999999
There Were Weight Losses In Both Varieties (Nerica 1 And  Nerica 2) Ranging Between 6.19 And 9.35% (Table 4).  The Reduction In The Weight Could Also Be Due To Moisture  Losses From The Grains During Storage As Well As Pest And  Insect Infestations.,7.615
Carotenoid Loss During Drying,7.5
Insects,7.3100000000000005
"Insects, Rodents",7.3
"Pest Damage, Mould, Breakage, Rodents",7.2
"Distance Transported, Poor Packaging, Uncontrolled Ripening",7.1
Insects; Large Grain Borer,7.0249999999999995
"1 Khoku Bruises, Injuries, Rottening Improper Handling, Falling Of Fruits, Fungal Attack 2.5  2 Chhintang Scratches, Puncture Of Fruits, Insect Infestation Improper Harvesting, Infestation 2-3  3 Dhankuta Physical Damage, Bruises, Cuts, Over Ripen,  Immature  Improper Harvesting, Falling Of Fruits, Improper  Handling, Monkey Attack  4-5  4 Budhimorang And Khuaphok Bruises, Scratches Improper Handling 1-2  5 Bhirgaon Damaged, Insect Infestation, Bruises Due To Fall Of Fruits, Cracked And Spoiled Fruits 4-7  6 Maunabudhuk Bruises, Softness, Puncturing Of Fruits Falling From Height, Open Stacking, Improper Plucking 5.5",7.0
"Small-Scale Corn And Bean Farmers Account For Most Of The Domestic Production. They Continue To Apply Certain Post-Harvest Practices Which, In Most Cases, Tend To Increase Post-Harvest Losses. These Include Spreading Grain On The Ground, Plastic Or Pavement To Dry By Exposure To Direct Sunlight, Which Adds To Contamination And Holds In Moisture, And Storing Grain In Places Where Humidity, Insects And Fungi Cannot Be Controlled.",7.0
Insect Pest,6.9
"Shamabadi  (2012) While Evaluating The Performance Of Eight Combines Observed That Time Of Harvesting, Seed  Moisture Content, Relative Humidity, Field Topography And Varietal Characteristics Are The Major Factors  Affecting Harvest Losses. He Concluded That Mean Total Loss By Different Combines Was 6.88% At Wheat  Harvesting Stage.",6.88
Sourced From Jha Et  Al. (2015,6.765909090909091
"Weather Conditions,  Quality Issues And  Pests/Animal  Damage Are The  Major Reasons",6.6
Marketing And Distribution,6.5
Due To Delays In Processing And Account For 80% Of All Physical Losses In The Value Chain,6.5
Pest Damage,6.466666666666666
Off-Season Losses,6.4
Quality Losses Due Damage And Decay,6.3999999999999995
Storage Starch,6.3
The Reduction In The Weight Could Also Be Due To Moisture  Losses From The Grains During Storage As Well As Pest And  Insect Infestations.,6.275
"Plant Diseases And Moulds During Storage Because Of Weather, Crop Rotation, Storage Conditions And Cultivar. Minor Quality Deficiencies Were Also Mentioned As Major Reasons For Post-Harvest Losses.",6.2
Insects And Moisture,6.2
Handling,6.0625
Market Storage Rodents,6.0
Mainly Spoilage Of Evening Milk,6.0
"In-Field Losses Also Occur. The Most Common Reasons For Losses, 38% (6 Farmers), Were  Crop Damage During Harvesting Or Handling And In-Field Damage From Insects Or Other  Wildlife (Figure 97). There Were Also Losses Due To Weather Conditions And Undesired Size  And Appearance Of The Crop. Two Farmers Ticked The Alternative “Other” And Specified  The Reason To Be “Normal Losses At Threshing”",6.0
Method Of Lifting,6.0
Pancle/ Sickle Harvesting Two Varieties Of Rice    In The ‘Bambam’ In The Bag Beating Method (2.45%).  Harvesting Losses Ranged Between 4.07 And 12.05% At Farmer’S Fields,5.9175
Live Weight Loss,5.9
Labour-Group (Or Trader-Harvester) Harvesting And Mechanical Threshing,5.9
Processing Into Starch,5.9
Tuber Too Small,5.8
"Insect Damage, Rotten Loss, Remain In The Soil, Cutting Loss",5.651666666666667
"Pests, Plant  Diseases And  Quality Reasons  Are The Main  Reasons.",5.596666666666667
"Insects, Moulds, Rodents",5.583333333333333
"(Md=4.7%, W=0.8%)",5.515000000000001
During Harvesting Of Spring Onions  During Field Drying And Harvesting Of Regular Onions,5.5
"Bruises, Softness, Puncturing Of Fruits Falling From Height, Open Stacking, Improper Plucking",5.5
"Lack Of Labour, Lack Of Equipments, Rain During Harvest, Harvest Wet Grain",5.5
"Damaged, Insect Infestation, Bruises Due To Fall Of Fruits, Cracked And Spoiled Fruits",5.5
Processing Starch,5.5
Poor Display And Storage Facilities -,5.4
On-Farm Storage,5.333333333333333
Overripe,5.33
Mechanical Damage.Leaf Yellowing. Sound Leaves Trimmed By Accident. Pest Damage,5.183333333333334
Heat,5.125
Main Causes Of This Were A Mismatch In Supply And Demand Or Cosmetic And Quality Related,5.037804878048781
"Poor Machine Set Up, Paddy Is Too Dry, Mix Paddy, Poor Machine Set Up, Variety",5.0
Rain Pre-Harvest Causing Germination On The Stalk,5.0
